,team_name,year,wins,losses,win_percent,goal_for,goal_against
348,Calgary Flames,1991,31,37,0.388,296,305
349,Chicago Blackhawks,1991,36,29,0.45,257,236
350,Boston Bruins,1990,44,24,0.55,299,264
351,Buffalo Sabres,1990,31,30,0.388,292,278
352,Calgary Flames,1990,46,26,0.575,344,263
353,Chicago Blackhawks,1990,49,23,0.613,284,211
354,Detroit Red Wings,1990,34,38,0.425,273,298
355,Edmonton Oilers,1990,37,37,0.463,272,272
356,Hartford Whalers,1990,31,38,0.388,238,276
357,Los Angeles Kings,1990,46,24,0.575,340,254
358,Minnesota North Stars,1990,27,39,0.338,256,266
359,Montreal Canadiens,1990,39,30,0.487,273,249
360,New Jersey Devils,1990,32,33,0.4,272,264
361,New York Islanders,1990,25,45,0.312,223,290
362,New York Rangers,1990,36,31,0.45,297,265
363,Philadelphia Flyers,1990,33,37,0.412,252,267
364,Pittsburgh Penguins,1990,41,33,0.512,342,305
365,Quebec Nordiques,1990,16,50,0.2,236,354
366,St. Louis Blues,1990,47,22,0.588,310,250
367,Toronto Maple Leafs,1990,23,46,0.287,241,318
368,Vancouver Canucks,1990,28,43,0.35,243,315
369,Washington Capitals,1990,37,36,0.463,258,258
370,Winnipeg Jets,1990,26,43,0.325,260,288
371,Boston Bruins,1991,36,32,0.45,270,275
372,Buffalo Sabres,1991,31,37,0.388,289,299
373,Calgary Flames,1991,31,37,0.388,296,305
374,Chicago Blackhawks,1991,36,29,0.45,257,236
375,Boston Bruins,1990,44,24,0.55,299,264
376,Buffalo Sabres,1990,31,30,0.388,292,278
377,Calgary Flames,1990,46,26,0.575,344,263
378,Chicago Blackhawks,1990,49,23,0.613,284,211
379,Detroit Red Wings,1990,34,38,0.425,273,298
380,Edmonton Oilers,1990,37,37,0.463,272,272
381,Hartford Whalers,1990,31,38,0.388,238,276
382,Los Angeles Kings,1990,46,24,0.575,340,254
383,Minnesota North Stars,1990,27,39,0.338,256,266
384,Montreal Canadiens,1990,39,30,0.487,273,249
385,New Jersey Devils,1990,32,33,0.4,272,264
386,New York Islanders,1990,25,45,0.312,223,290
387,New York Rangers,1990,36,31,0.45,297,265
388,Philadelphia Flyers,1990,33,37,0.412,252,267
389,Pittsburgh Penguins,1990,41,33,0.512,342,305
390,Quebec Nordiques,1990,16,50,0.2,236,354
391,St. Louis Blues,1990,47,22,0.588,310,250
392,Toronto Maple Leafs,1990,23,46,0.287,241,318
393,Vancouver Canucks,1990,28,43,0.35,243,315
394,Washington Capitals,1990,37,36,0.463,258,258
395,Winnipeg Jets,1990,26,43,0.325,260,288
396,Boston Bruins,1991,36,32,0.45,270,275
397,Buffalo Sabres,1991,31,37,0.388,289,299
398,Calgary Flames,1991,31,37,0.388,296,305
399,Chicago Blackhawks,1991,36,29,0.45,257,236
400,Boston Bruins,1990,44,24,0.55,299,264
401,Buffalo Sabres,1990,31,30,0.388,292,278
402,Calgary Flames,1990,46,26,0.575,344,263
403,Chicago Blackhawks,1990,49,23,0.613,284,211
404,Detroit Red Wings,1990,34,38,0.425,273,298
405,Edmonton Oilers,1990,37,37,0.463,272,272
406,Hartford Whalers,1990,31,38,0.388,238,276
407,Los Angeles Kings,1990,46,24,0.575,340,254
408,Minnesota North Stars,1990,27,39,0.338,256,266
409,Montreal Canadiens,1990,39,30,0.487,273,249
410,New Jersey Devils,1990,32,33,0.4,272,264
411,New York Islanders,1990,25,45,0.312,223,290
412,New York Rangers,1990,36,31,0.45,297,265
413,Philadelphia Flyers,1990,33,37,0.412,252,267
414,Pittsburgh Penguins,1990,41,33,0.512,342,305
415,Quebec Nordiques,1990,16,50,0.2,236,354
416,St. Louis Blues,1990,47,22,0.588,310,250
417,Toronto Maple Leafs,1990,23,46,0.287,241,318
418,Vancouver Canucks,1990,28,43,0.35,243,315
419,Washington Capitals,1990,37,36,0.463,258,258
420,Winnipeg Jets,1990,26,43,0.325,260,288
421,Boston Bruins,1991,36,32,0.45,270,275
422,Buffalo Sabres,1991,31,37,0.388,289,299
423,Calgary Flames,1991,31,37,0.388,296,305
424,Chicago Blackhawks,1991,36,29,0.45,257,236
425,Boston Bruins,1990,44,24,0.55,299,264
426,Buffalo Sabres,1990,31,30,0.388,292,278
427,Calgary Flames,1990,46,26,0.575,344,263
428,Chicago Blackhawks,1990,49,23,0.613,284,211
429,Detroit Red Wings,1990,34,38,0.425,273,298
430,Edmonton Oilers,1990,37,37,0.463,272,272
431,Hartford Whalers,1990,31,38,0.388,238,276
432,Los Angeles Kings,1990,46,24,0.575,340,254
433,Minnesota North Stars,1990,27,39,0.338,256,266
434,Montreal Canadiens,1990,39,30,0.487,273,249
435,New Jersey Devils,1990,32,33,0.4,272,264
436,New York Islanders,1990,25,45,0.312,223,290
437,New York Rangers,1990,36,31,0.45,297,265
438,Philadelphia Flyers,1990,33,37,0.412,252,267
439,Pittsburgh Penguins,1990,41,33,0.512,342,305
